article_id,topic_id
A000000,Q5757680
A000001,Q6017526
A000002,Q6486642
A000003,Q5508841
A000004,Q5190931
A000005,Q3152824
A000006,Q6017561
A000007,Q2985307
A000008,Q6043746
A000009,Q6498663
A000010,Q5421939
A000011,Q5582617
A000012,Q6031029
A000013,Q5380419
A000014,Q1870403
A000015,Q5398995
A000016,Q5589293
A000017,Q5399385
A000018,Q5266682
A000019,Q5565881
A000020,Q3117735
A000021,Q3091534
A000022,Q3068961
A000023,Q6138323
A000024,Q5341295
A000025,Q1818761
A000026,Q2069741
A000027,Q1812889
A000028,Q3119880
A000029,Q3064474
A000030,Q5194618
A000031,Q3070109
A000032,Q6484284
A000033,Q1956113
A000034,Q3056790
A000035,Q6015263
A000036,Q1934969
A000037,Q5955071
A000038,Q5176204
A000039,Q5916251
A000040,Q5466627
A000041,Q5419285
A000042,Q2090372
A000043,Q6815100
A000044,Q1328304
A000045,Q1229245
A000046,Q6503344
A000047,Q24746
A000048,Q22908
A000049,Q6664371
A000050,Q1358919
A000051,Q1514395
A000052,Q1229659
A000053,Q6878455
A000054,Q1228967
A000055,Q24764
A000056,Q1550557
A000057,Q6953133
A000058,Q1390062
A000059,Q1364298
A000060,Q11315
A000061,Q1241025
A000062,Q11033
A000063,Q1394627
A000064,Q7049579
A000065,Q1311569
A000066,Q1362509
A000067,Q34627
A000068,Q1188663
A000069,Q1141323
A000070,Q11032
A000071,Q1132944
A000072,Q1071015
A000073,Q1193702
A000074,Q1054782
A000075,Q1187145
A000076,Q51647
A000077,Q2177636
A000078,Q77115
A000079,Q83405
A000080,Q3508373
A000081,Q3269648
A000082,Q3184737
A000083,Q3577960
A000084,Q79751
A000085,Q3540209
A000086,Q2142273
A000087,Q1346215
A000088,Q3349568
A000089,Q2169973
A000090,Q1199840
A000091,Q3509383
A000092,Q1200676
A000093,Q1328899
A000094,Q3607960
A000095,Q1251750
A000096,Q3356081
A000097,Q2108946
A000098,Q153936
A000099,Q138796
A000100,Q4736565
A000101,Q4915958
A000102,Q4384758
A000103,Q4502119
A000104,Q4931514
A000105,Q5051107
A000106,Q5165673
A000107,Q2814066
A000108,Q4974301
A000109,Q4840249
A000110,Q5038204
A000111,Q2828218
A000112,Q2897382
A000113,Q166118
A000114,Q4785006
A000115,Q5162950
A000116,Q4672756
A000117,Q4764972
A000118,Q4801240
A000119,Q5163232
A000120,Q165853
A000121,Q2746884
A000122,Q4504013
A000123,Q5055151
A000124,Q2462200
A000125,Q2946037
A000126,Q4830453
A000127,Q2575910
A000128,Q5119518
A000129,Q1505454
A000130,Q163740
A000131,Q4986492
A000132,Q2731185
A000133,Q1518309
A000134,Q4651900
A000135,Q2882257
A000136,Q1530022
A000137,Q2686051
A000138,Q4763669
A000139,Q4738824
A000140,Q10983451
A000141,Q181916
A000142,Q196776
A000143,Q7654539
A000144,Q11396960
A000145,Q1729207
A000146,Q190864
A000147,Q179076
A000148,Q178706
A000149,Q195339
A000150,Q1616178
A000151,Q11771944
A000152,Q1597339
A000153,Q7885249
A000154,Q1785733
A000155,Q7865442
A000156,Q1454317
A000157,Q13473501
A000158,Q11812394
A000159,Q190928
A000160,Q1558054
A000161,Q210167
A000162,Q183288
A000163,Q1808846
A000164,Q197952
A000165,Q188913
A000166,Q11005122
A000167,Q194166
A000168,Q10341430
A000169,Q7975161
A000170,Q11391922
A000171,Q10656810
A000172,Q208701
A000173,Q1788992
A000174,Q1787017
A000175,Q7699489
A000176,Q10686791
A000177,Q10883540
A000178,Q7727036
A000179,Q7864947
A000180,Q1752346
A000181,Q9078534
A000182,Q11288646
A000183,Q353344
A000184,Q463080
A000185,Q369729
A000186,Q16985923
A000187,Q17092674
A000188,Q17103146
A000189,Q16949833
A000190,Q16320635
A000191,Q16981758
A000192,Q14946195
A000193,Q13757566
A000194,Q336473
A000195,Q221096
A000196,Q324090
A000197,Q438711
A000198,Q276548
A000199,Q431603
A000200,Q327245
A000201,Q280783
A000202,Q16965797
A000203,Q16002704
A000204,Q16861792
A000205,Q450421
A000206,Q379049
A000207,Q16909857
A000208,Q15808872
A000209,Q17071851
A000210,Q15104323
A000211,Q783794
A000212,Q694166
A000213,Q20653619
