topic_id,related_topic_id,relation_type
Q7865442,Q1065,related
Q7188,Q11204,related
Q7188,Q35798,related
Q188913,Q11451,related
Q2281788,Q45782,related
Q1311569,Q22667,related
Q7188,Q105985,related
Q11032,Q59908,related
Q188913,Q38112,related
Q938711,Q121998,related
Q3577960,Q38723,related
Q208701,Q178790,related
Q4830453,Q165687,related
Q1054782,Q167503,related
Q895526,Q43229,related
Q1141323,Q192611,related
Q1752346,Q284289,related
Q3184737,Q665487,related
Q3091534,Q204543,related
Q1071015,Q817245,related
Q197952,Q219577,related
Q11033,Q853710,related
Q336473,Q826745,related
Q11032,Q267628,related
Q11771944,Q294414,related
Q1870403,Q587357,related
Q4830453,Q636109,related
Q16949833,Q2897402,related
Q16861792,Q876040,related
Q876852,Q1455871,related
Q1032372,Q3083944,related
Q11032,Q871232,related
Q1054782,Q650688,related
Q1054782,Q685485,related
Q34627,Q863418,related
Q5194618,Q674426,related
Q1870403,Q745351,related
Q83405,Q4830453,related
Q463080,Q3879354,related
Q1054782,Q1054739,related
Q1054782,Q1054745,related
Q1054782,Q1054785,related
Q1054782,Q1054798,related
Q1870403,Q1074248,related
Q195339,Q7315155,related
Q79751,Q7202412,related
Q3184737,Q1104153,related
Q188913,Q1655611,related
Q1788992,Q2159907,related
Q1870403,Q1088426,related
Q1054782,Q3322422,related
Q11032,Q2602337,related
Q7885249,Q2867431,related
Q4830453,Q3477367,related
Q1141323,Q2973945,related
Q1870403,Q2188747,related
Q1054782,Q2689944,related
Q1054782,Q2747014,related
Q1054782,Q2946410,related
Q197952,Q4830453,related
Q3184737,Q4958876,related
Q4830453,Q6881511,related
Q1870403,Q10942803,related
Q1870403,Q18121791,related
Q1870403,Q7920419,related
Q79751,Q7198319,related
Q221096,Q7246203,related
Q181916,Q120431565,related
